"","date","country","region","accession","accession_2","strain"
"1","2014-08-01","USA","North America","KM851231","KM851231.1","US/KY/14-18953"
"2","2013-01-01","USA","North America","KM892500","KM892500.1","CA/RESP/10-786"
"6","2014-12-18","USA","North America","KT455429","KT455429.1","NYS14_32132"
"7","2014-09-02","USA","North America","KT995537","KT995537.1","USA/PA/2014-19035"
"8","2014-12-31","USA","North America","KU844181","KU844181.1","US/CA/14-4231"
"9","2014-09-25","USA","North America","KP745768","KP745768.1","NY73"
"10","2014-09-25","USA","North America","KP745769","KP745769.1","NY74"
"11","2014-10-05","USA","North America","KT455422","KT455422.1","NYS14_28173"
"12","2014-08-01","USA","North America","KM851230","KM851230.1","US/IL/14-18952"
"13","2014-08-31","USA","North America","KM851229","KM851229.1","US/KY/14-18951"
"14","2014-09-08","USA","North America","KT995555","KT995555.1","USA/ID/2014-19068"
"15","2014-08-31","USA","North America","KU669048","KU669048.1","USA/CO/2014-19030"
"16","2014-09-04","USA","North America","KT995588","KT995588.1","USA/ID/2014-19224"
"17","2014-08-18","USA","North America","KT995561","KT995561.1","USA/UT/2014-19195"
"18","2014-12-29","USA","North America","KU669039","KU669039.1","USA/OR/2014-19269"
"19","2014-09-11","USA","North America","KT995601","KT995601.1","USA/WY/2014-19051"
"20","2013-01-01","USA","North America","KM892501","KM892501.1","CA/AFP/11-1767"
"21","2013-01-01","USA","North America","KM892499","KM892499.1","CA/AFP/v12T00346"
"22","2013-11-30","USA","North America","KP100794","KP100794.1","US/CO/13-60"
"23","2014-09-26","USA","North America","KP745767","KP745767.1","NY329"
"24","2014-10-05","USA","North America","KP745756","KP745756.1","NY160"
"25","2014-10-15","USA","North America","KU669045","KU669045.1","USA/MI/2014-19082"
"26","2014-09-08","USA","North America","KT995539","KT995539.1","USA/VA/2014-19178"
"27","2014-09-12","USA","North America","KT995574","KT995574.1","USA/VA/2014-19218"
"29","2014-09-10","USA","North America","KT995548","KT995548.1","USA/IA/2014-19171"
"39","2014-09-25","USA","North America","KU669043","KU669043.1","USA/MI/2014-19265"
"40","2014-08-29","USA","North America","KT995557","KT995557.1","USA/OH/2014-19192"
"42","2014-09-10","USA","North America","KT995547","KT995547.1","USA/MA/2014-19183"
"43","2014-06-25","USA","North America","KT347275","KT347275.1","EVD68/Homosapiens/USA/MO35/2014"
"44","2014-09-17","USA","North America","KT995604","KT995604.1","USA/OH/2014-19240"
"45","2014-09-08","USA","North America","KT995538","KT995538.1","USA/PA/2014-19177"
"46","2014-08-27","USA","North America","KT995587","KT995587.1","USA/OH/2014-19223"
"47","2014-09-08","USA","North America","KT995562","KT995562.1","USA/SC/2014-19196"
"48","2014-09-07","USA","North America","KT347247","KT347247.1","EVD68/Homosapiens/USA/MO41/2014"
"49","2014-12-31","USA","North America","KU844180","KU844180.1","US/CA/14-4232"
"50","2014-09-09","USA","North America","KT995544","KT995544.1","USA/VA/2014-19181"
"51","2014-09-06","USA","North America","KT995542","KT995542.1","USA/IL/2014-19179"
"52","2014-09-07","USA","North America","KT995545","KT995545.1","USA/KY/2014-19182"
"53","2014-08-23","USA","North America","KT455427","KT455427.1","NYS14_31249"
"54","2014-10-17","USA","North America","KT347258","KT347258.1","EVD68/Homosapiens/USA/MO12/2014"
"55","2014-09-09","USA","North America","KT995628","KT995628.1","USA/PA/2014-19263"
"56","2014-09-08","USA","North America","KT347233","KT347233.1","EVD68/Homosapiens/USA/MO19/2014"
"57","2014-08-27","USA","North America","KT347278","KT347278.1","EVD68/Homosapiens/USA/MO8/2014"
"58","2014-08-18","USA","North America","KT347252","KT347252.1","EVD68/Homosapiens/USA/MO51/2014"
"59","2014-12-31","USA","North America","KT347254","KT347254.1","EVD68/Homosapiens/USA/MO33/2014"
"70","2014-06-06","USA","North America","KT995589","KT995589.1","USA/IA/2014-19225"
"72","2014-09-12","USA","North America","KT995575","KT995575.1","USA/CT/2014-19208"
"73","2014-09-29","USA","North America","KP745752","KP745752.1","NY124"
"74","2014-09-24","USA","North America","KP745763","KP745763.1","NY314"
"76","2014-09-30","USA","North America","MK681492","MK681492.1","USA/CA/2014-RGDS-1027"
"77","2014-09-13","USA","North America","KT995567","KT995567.1","USA/CT/2014-19201"
"78","2014-08-22","USA","North America","KT995532","KT995532.1","USA/KY/2014-19167"
"81","2014-09-15","USA","North America","KT995605","KT995605.1","USA/AL/2014-19241"
"82","2014-09-30","USA","North America","MK681490","MK681490.1","USA/CA/2014-RGDS-1025"
"85","2014-07-06","USA","North America","KT347279","KT347279.1","EVD68/Homosapiens/USA/MO38/2014"
"86","2014-07-18","USA","North America","KT347236","KT347236.1","EVD68/Homosapiens/USA/MO39/2014"
"87","2014-09-09","USA","North America","KT347224","KT347224.1","EVD68/Homosapiens/USA/MO58/2014"
"88","2014-09-11","USA","North America","KT995570","KT995570.1","USA/MS/2014-19204"
"93","2014-11-23","USA","North America","KT347260","KT347260.1","EVD68/Homosapiens/USA/MO11/2014"
"94","2014-09-08","USA","North America","KM881710","KM881710.1","EV-D68_STL_2014_12"
"95","2014-07-19","USA","North America","KT347249","KT347249.1","EVD68/Homosapiens/USA/MO16/2014"
"96","2014-08-31","USA","North America","KM851225","KM851225.1","US/MO/14-18947"
"97","2014-09-24","USA","North America","KT995613","KT995613.1","USA/NC/2014-19248"
"98","2014-10-09","USA","North America","KT347251","KT347251.1","EVD68/Homosapiens/USA/MO47/2014"
"99","2014-10-16","USA","North America","KT347263","KT347263.1","EVD68/Homosapiens/USA/MO28/2014"
"100","2014-08-29","USA","North America","KT995535","KT995535.1","USA/AL/2014-19169"
"101","2014-09-06","USA","North America","KT995550","KT995550.1","USA/MT/2014-19216"
"104","2014-08-31","USA","North America","MK268345","MK268345.1","USA/IL/2014-18956"
"105","2014-09-27","USA","North America","KT995625","KT995625.1","USA/TN/2014-19260"
"106","2014-09-02","USA","North America","KT347274","KT347274.1","EVD68/Homosapiens/USA/MO43/2014"
"107","2014-09-16","USA","North America","KT995599","KT995599.1","USA/MD/2014-19235"
"108","2014-11-30","USA","North America","KT347259","KT347259.1","EVD68/Homosapiens/USA/MO9/2014"
"109","2014-12-31","USA","North America","KT347223","KT347223.1","EVD68/Homosapiens/USA/MO54/2014"
"110","2014-09-25","USA","North America","KT995621","KT995621.1","USA/ID/2014-19256"
"111","2014-08-22","USA","North America","KT995565","KT995565.1","USA/IL/2014-19199"
"112","2014-09-12","USA","North America","KT347264","KT347264.1","EVD68/Homosapiens/USA/MO22/2014"
"113","2014-09-05","USA","North America","KT995541","KT995541.1","USA/CO/2014-19190"
"114","2014-09-09","USA","North America","KT995572","KT995572.1","USA/NE/2014-19206"
"116","2014-09-24","USA","North America","KT995610","KT995610.1","USA/GA/2014-19246"
"118","2014-09-01","USA","North America","MK681491","MK681491.1","USA/CA/2014-RGDS-1026"
"119","2014-08-31","USA","North America","KM851226","KM851226.1","US/MO/14-18948"
"120","2014-11-24","USA","North America","KT347267","KT347267.1","EVD68/Homosapiens/USA/MO34/2014"
"121","2014-09-06","USA","North America","KT347245","KT347245.1","EVD68/Homosapiens/USA/MO59/2014"
"122","2014-09-09","USA","North America","KT995592","KT995592.1","USA/TX/2014-19228"
