strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
14ISO0020050	2014-10-17	A2	France	Europe	0.19	<1y	<18y	<18y				Bal, A. et al.	MK105978	
US/KY/14-18953	2014-08-01 (2014-08-01 - 2014-08-28)	A2	USA	North America						2019-07-15		Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	KM851231	
14ISO0120062	2014-11-18	A2	France	Europe	53.94	18-64y	18-64y	>=18y				Bal, A. et al.	MK105979	
14ISO0043	2014-10-22	A2	France	Europe	5.62	1-5y	<18y	<18y				Bal, A. et al.	MK105976	
14ISO18022	2014-12-02	A2	France	Europe	69.46	>=65y	>=65y	>=18y				Bal, A. et al.	MK105977	
CHN/CQ5508/2013	2013-10-05	A2	China	China	0.08	<1y	<18y	<18y		2019-07-15		Xiao,Q., Ren,L., Zheng,S., Wang,L., Xie,X., Deng,Y., Zhao,Y., Zhao,X., Luo,Z., Fu,Z., Huang,A. and Liu,E.	KT803588	
V13-2245157	2013-05-21	A2	Hong Kong	China	94	>=65y	>=65y	>=18y		2019-07-15		Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.	KY767821	
2013-1017-26	2013-10-17	A2	China	China	10	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280501	
2013-0825-6	2013-08-25	A2	China	China	6	6-17y	<18y	<18y		2019-07-15		Zhang,T.	KT280502	
CQ5313	2013-08-22	A2	China	China						2019-07-15		Lu,Q.-B. and Liu,W.	KT764078	
CAN14-314	2014-01-01 (2014-01-01 - 2014-06-15)	A1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455258	
20692_52_EV-D68	2015-04-18	A1	Kenya	Africa								Agoti, C., Phan, M., et al	MK989725	
EVD68_SWE_007_140908_NFLG	2014-09-08	A1	Sweden	Europe	5	1-5y	<18y	<18y	Karolinska Sweden	2018-07-07		Dyrdak, R. et al.	MH674114	
20692_43_EV-D68	2015-03-12	A1	Kenya	Africa								Agoti, C., Phan, M., et al	MK989724	
20692_25_EV-D68	2015-07-18	A1	Kenya	Africa								Agoti, C., Phan, M., et al	MK989723	
20692_88_EV-D68	2015-02-21	A1	Kenya	Africa								Agoti, C., Phan, M., et al	MK989726	
CA/RESP/10-786	2013-01-01 (2013-01-01 - 2013-03-06)	A1	USA	North America						2019-07-15		Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.	KM892500	
705-OsakaCity-JPN-2013	2013-09-30	A1	Japan	Japan Korea	0.33	<1y	<18y	<18y		2019-07-15		Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC068709	
