"","date","country","region","accession","accession_2","strain"
"1","2014-10-17","France","Europe","MK105978","MK105978.1","14ISO0020050"
"2","2014-08-01","USA","North America","KM851231","KM851231.1","US/KY/14-18953"
"3","2014-11-18","France","Europe","MK105979","MK105979.1","14ISO0120062"
"4","2014-10-22","France","Europe","MK105976","MK105976.1","14ISO0043"
"5","2014-12-02","France","Europe","MK105977","MK105977.1","14ISO18022"
"6","2013-10-05","China","China","KT803588","KT803588.1","CHN/CQ5508/2013"
"7","2013-05-21","Hong Kong","China","KY767821","KY767821.1","V13-2245157"
"8","2013-10-17","China","China","KT280501","KT280501.1","2013-1017-26"
"9","2013-08-25","China","China","KT280502","KT280502.1","2013-0825-6"
"10","2013-08-22","China","China","KT764078","KT764078.1","CQ5313"
"11","2014-01-01","Canada","North America","KP455258","KP455258.1","CAN14-314"
"12","2015-04-18","Kenya","Africa","MK989725","MK989725.1","20692_52_EV-D68"
"13","2014-09-08","Sweden","Europe","MH674114","MH674114.1","EVD68_SWE_007_140908_NFLG"
"14","2015-03-12","Kenya","Africa","MK989724","MK989724.1","20692_43_EV-D68"
"15","2015-07-18","Kenya","Africa","MK989723","MK989723.1","20692_25_EV-D68"
"16","2015-02-21","Kenya","Africa","MK989726","MK989726.1","20692_88_EV-D68"
"17","2013-01-01","USA","North America","KM892500","KM892500.1","CA/RESP/10-786"
"18","2013-09-30","Japan","Japan Korea","LC068709","LC068709.1","705-OsakaCity-JPN-2013"
"19","2013-09-24","Japan","Japan Korea","LC068708","LC068708.1","692-OsakaCity-JPN-2013"
"20","2013-10-08","Japan","Japan Korea","LC068710","LC068710.1","726-OsakaCity-JPN-2013"
"21","2013-10-04","Japan","Japan Korea","LC068711","LC068711.1","727-OsakaCity-JPN-2013"
"22","2014-11-27","Canada","North America","KP455284","KP455284.1","CAN14-344"
"23","2014-09-16","Canada","North America","KP455283","KP455283.1","CAN14-683"
"24","2014-11-01","Canada","North America","KP455281","KP455281.1","CAN14-183"
"25","2014-09-24","USA","North America","KX351807","KX351807.1","EV-D68/Homosapiens/USA/SSENT32/2014"
"26","2014-10-08","Canada","North America","KP455282","KP455282.1","CAN14-547"
"27","2014-09-23","USA","North America","KX351799","KX351799.1","EV-D68/Homosapiens/USA/SSENT30/2014"
"28","2014-04-11","Canada","North America","KP455286","KP455286.1","CAN14-459"
"29","2014-09-17","USA","North America","KX351818","KX351818.1","EV-D68/Homosapiens/USA/SSENT20/2014"
"30","2014-12-18","USA","North America","KT455429","KT455429.1","NYS14_32132"
"31","2014-09-02","USA","North America","KT995537","KT995537.1","USA/PA/2014-19035"
"32","2014-12-31","USA","North America","KU844181","KU844181.1","US/CA/14-4231"
"33","2014-09-25","USA","North America","KP745768","KP745768.1","NY73"
"34","2014-09-25","USA","North America","KP745769","KP745769.1","NY74"
"35","2014-10-05","USA","North America","KT455422","KT455422.1","NYS14_28173"
"36","2014-08-01","USA","North America","KM851230","KM851230.1","US/IL/14-18952"
"37","2014-08-31","USA","North America","KM851229","KM851229.1","US/KY/14-18951"
"38","2014-09-08","USA","North America","KT995555","KT995555.1","USA/ID/2014-19068"
"39","2014-08-31","USA","North America","KU669048","KU669048.1","USA/CO/2014-19030"
"40","2014-09-04","USA","North America","KT995588","KT995588.1","USA/ID/2014-19224"
"41","2014-08-18","USA","North America","KT995561","KT995561.1","USA/UT/2014-19195"
"42","2014-12-29","USA","North America","KU669039","KU669039.1","USA/OR/2014-19269"
"43","2014-09-11","USA","North America","KT995601","KT995601.1","USA/WY/2014-19051"
"44","2014-09-02","Canada","North America","KP114665","KP114665.1","EV68_Alberta17789_2014"
"45","2014-09-02","Canada","North America","KP455285","KP455285.1","CAN14-235"
"46","2013-12-31","Philippines","Southeast Asia","KX789261","KX789261.1","TBp-13-Ph440"
"47","2014-06-20","Vietnam","Southeast Asia","MF045414","MF045414.1","EVD68/Homosapiens/VNM/VN2/2014"
"48","2014-05-08","Vietnam","Southeast Asia","MF045413","MF045413.1","EVD68/Homosapiens/VNM/VN1/2014"
"49","2014-04-08","Vietnam","Southeast Asia","MF045418","MF045418.1","EVD68/Homosapiens/VNM/VN6/2014"
"50","2014-06-08","Vietnam","Southeast Asia","MF045416","MF045416.1","EVD68/Homosapiens/VNM/VN4/2014"
"51","2014-11-19","China","China","KT280496","KT280496.1","2014-R1357"
